source,interaction,target
DAPK3,1,CDKN1A
ZDHHC9,1,HRAS
ZDHHC9,1,NRAS
KLF6,1,DAPK2
IGF2,1,IGF2R
FLT3LG,1,FLT3
KITLG,1,KIT
TAL1,1,NKX3-1
IGF2,1,IGF1R
ATM,1,STRAP
SMG1,1,TP53
CHEK2,1,STRAP
LRRK2,1,MAP2K3
LRRK2,1,MAP2K4
TLR4,1,TIRAP
KAT2B,1,H3C12
TLR1_TLR2,1,TIRAP
TLR4,1,TICAM2
TICAM2,1,TICAM1
TLR2_TLR6,1,TIRAP
TRAF6,1,MAP3K7
TICAM1,1,TRAF6
RCAN1,-1,PPP3CA
TLR3,1,TICAM1
MYD88,1,IRAK4
GSK3B,1,RCAN1
LRRK2,1,MAP2K7
LRRK2,1,MAP2K6
ATG14,1,BECN1
SIRT2,-1,FOXO1
FOXO1,1,ATG7
RUBCN,-1,BECN1
PPP1CA_PPP1R12A_PPP1R12B,-1,MYL12A
CARD8,-1,CASP9
CARD8,-1,APAF1
SERPINB9,-1,CASP1
CASP1,-1,CARD8
DAPK3,1,MYL12A
DAPK1,1,MYL12A
ROCK1,1,MYL12A
TP53,-1,BCL2
MTOR,1,DAP
CFLAR,-1,ATG3
DAPK3,1,MYL5
RPS6KA3,-1,BAD
CASP3,-1,EIF2S2
RPS6KB1,1,RPS6
DAPK1,-1,BCL2
CDK1,1,BIRC5
CASP3,-1,EIF2S3
TP53,1,TYRP1
GAPDH,-1,RHEB
TP53,-1,UBD
USP3,1,H2AZ1
TP53,1,VCAN
TP53,1,VDR
TP53,1,TRIAP1
TP53,1,TRIM22
TP53,1,TSC2
TP53,-1,TRPM2
MIR17HG,-1,BCL2
COPS2_COPS3_COPS4_COPS5_COPS6_COPS7A_COPS7B_GPS1,1,NEDD8
AKT1,-1,ITPR1
GAPDH,1,APEX1
CAMKK1,1,CRMP1
GAPDH,1,POU2F1
POU2F1,1,H2BC11
SFPQ,1,NONO
NONO,1,TOP1
CUL4A_DDB1_DDB2_RBX1,1,XPC
APLF,1,PARP1
JUN,1,PPM1D
ATR,1,TDP1
PRKDC_XRCC6,1,TDP1
ATM,1,TDP1
BTRC_CUL1_SKP1,-1,CLSPN
ATM,-1,TRIM28
CHEK1,1,RAD51
CCNA2_CDK2,1,BRCA1
NOS1,-1,NFKBIA
BIRC2,1,ERC1
GSK3B,-1,GYS1
PPP1R3A,1,GYS1
IKBKE,1,RELA
GSK3B,1,AXIN1
CSNK1A1,-1,PRKN
E2F7,-1,SP1
CREB1,1,HSD3B1
CRTC2,1,HSD3B1
CRTC2,1,CYP11A1
GSK3B,1,LRP6
GNAQ,-1,GSK3B
BTRC_CUL1_SKP1,-1,WEE1
USP1,-1,FANCD2
MAPK8,-1,YWHAZ
CRTC2,1,STAR
BCL2,-1,BECN1
CHEK2,-1,CDC25A
PLK1,-1,WEE1
HMGA2,1,ATM
ATM,1,HMGA2
CSNK2A1_CSNK2B,-1,NFKBIA
ATM,1,HMGA1
PPP3CA_PPP3R1,1,BAD
AKT1,1,NOS3
MIR17HG,-1,BMPR2
PINK1,-1,CRMP1
LEF1,1,FAIM2
BTRC_CUL1_SKP1,-1,CDC25A
CDK5,-1,PRKN
CSNK1A1,-1,CTNNB1
CSNK1A1,-1,CDC25A
CHEK1,1,TP53
TP53,1,PLAGL1
E2F1,1,CASP3
TP53,1,ODC1
TP53,-1,NOS3
TP53,1,PERP
TP53,1,P2RX6
PPARG,1,KMT5A
